NAME,X,Y,X-scaled,Y-scaled,label,top_level_cell_type,sub_level_cell_type
68209,11257,59,3378,17,8months-disease-replicate_2,Oligo,Oligo1
68210,961,59,289,17,8months-disease-replicate_2,LHb,LHb
68211,4875,66,1463,19,8months-disease-replicate_2,Oligo,Oligo1
68212,1867,87,561,26,8months-disease-replicate_2,SMC,S3
68213,8975,84,2693,25,8months-disease-replicate_2,DG,DG
68214,10857,81,3258,24,8months-disease-replicate_2,Oligo,Oligo1
68215,14372,82,4312,24,8months-disease-replicate_2,Oligo,Oligo1
68217,7928,92,2379,27,8months-disease-replicate_2,DG,DG
68220,17280,97,5184,29,8months-disease-replicate_2,Oligo,Oligo1
68222,10434,115,3131,34,8months-disease-replicate_2,SMC,S3
68223,9428,97,2829,29,8months-disease-replicate_2,Oligo,Oligo1
68224,16638,108,4992,32,8months-disease-replicate_2,Oligo,Oligo1
68225,18394,102,5519,30,8months-disease-replicate_2,Oligo,Oligo1
68227,13354,112,4007,33,8months-disease-replicate_2,Oligo,Oligo1
68228,11561,104,3469,31,8months-disease-replicate_2,Oligo,Oligo1
68229,8445,163,2534,48,8months-disease-replicate_2,DG,DG
68230,14706,114,4412,34,8months-disease-replicate_2,Oligo,Oligo1
68231,6683,99,2005,29,8months-disease-replicate_2,Micro,Micro1
68232,3215,110,965,33,8months-disease-replicate_2,SMC,S1
68233,888,105,267,31,8months-disease-replicate_2,Astro,Astro1
68234,763,125,229,37,8months-disease-replicate_2,CTX-Ex,CTX-Ex3
68235,10765,164,3230,49,8months-disease-replicate_2,Oligo,Oligo1
68236,18281,121,5485,36,8months-disease-replicate_2,Oligo,Oligo1
68237,11408,128,3423,38,8months-disease-replicate_2,Oligo,Oligo1
68238,11829,132,3549,39,8months-disease-replicate_2,Oligo,Oligo1
68239,13727,138,4119,41,8months-disease-replicate_2,Oligo,Oligo1
68240,13004,142,3902,42,8months-disease-replicate_2,Oligo,Oligo1
68241,19410,138,5823,41,8months-disease-replicate_2,Oligo,Oligo1
68242,19244,140,5774,42,8months-disease-replicate_2,Oligo,Oligo1
68243,12845,144,3854,43,8months-disease-replicate_2,Endo,Endo1
68244,5928,129,1779,38,8months-disease-replicate_2,DG,DG
68246,12737,147,3822,44,8months-disease-replicate_2,Oligo,Oligo1
68247,17790,144,5337,43,8months-disease-replicate_2,Oligo,Oligo1
68248,5058,146,1518,43,8months-disease-replicate_2,DG,DG
68249,6131,153,1840,45,8months-disease-replicate_2,DG,DG
68250,13826,171,4148,51,8months-disease-replicate_2,Oligo,Oligo1
68251,8666,167,2600,50,8months-disease-replicate_2,DG,DG
68252,6326,165,1898,49,8months-disease-replicate_2,DG,DG
68253,1386,156,416,46,8months-disease-replicate_2,Oligo,Oligo1
68254,1784,181,536,54,8months-disease-replicate_2,SMC,S3
68255,18296,179,5489,53,8months-disease-replicate_2,Oligo,Oligo1
68257,6606,178,1982,53,8months-disease-replicate_2,Inh,Sst
68258,2160,198,648,59,8months-disease-replicate_2,Micro,Micro2
68259,18813,180,5644,54,8months-disease-replicate_2,Oligo,Oligo1
68261,14104,185,4232,55,8months-disease-replicate_2,Micro,Micro1
68262,10695,203,3209,60,8months-disease-replicate_2,Oligo,Oligo1
68263,4148,197,1245,59,8months-disease-replicate_2,Endo,Endo2
68264,9046,192,2714,57,8months-disease-replicate_2,DG,DG
68265,17858,210,5358,63,8months-disease-replicate_2,Oligo,Oligo1
68266,7514,214,2255,64,8months-disease-replicate_2,CA2,CA2-Ex
68267,5650,212,1695,63,8months-disease-replicate_2,DG,DG
68268,11251,235,3376,70,8months-disease-replicate_2,Oligo,Oligo1
68269,5441,220,1633,66,8months-disease-replicate_2,DG,DG
68270,7861,309,2359,92,8months-disease-replicate_2,DG,DG
68271,6560,233,1968,69,8months-disease-replicate_2,DG,DG
68272,5811,226,1744,67,8months-disease-replicate_2,DG,DG
68273,9122,240,2737,72,8months-disease-replicate_2,Oligo,Oligo1
68274,4968,234,1491,70,8months-disease-replicate_2,Astro,Astro1
68275,5897,246,1770,73,8months-disease-replicate_2,DG,DG
68276,8900,220,2670,66,8months-disease-replicate_2,DG,DG
68277,15252,246,4576,73,8months-disease-replicate_2,Oligo,Oligo1
68278,1386,249,416,74,8months-disease-replicate_2,Oligo,Oligo1
68279,1051,225,316,67,8months-disease-replicate_2,LHb,LHb
68280,7728,296,2319,88,8months-disease-replicate_2,DG,DG
68281,5088,260,1527,78,8months-disease-replicate_2,DG,DG
68282,7479,304,2244,91,8months-disease-replicate_2,DG,DG
68283,4561,255,1369,76,8months-disease-replicate_2,DG,DG
68284,17320,260,5196,78,8months-disease-replicate_2,Oligo,Oligo1
68285,10593,261,3178,78,8months-disease-replicate_2,Astro,Astro2
68286,5983,246,1795,73,8months-disease-replicate_2,DG,DG
68287,16602,265,4981,79,8months-disease-replicate_2,Oligo,Oligo1
68288,14963,266,4489,79,8months-disease-replicate_2,Oligo,Oligo1
68289,6095,262,1829,78,8months-disease-replicate_2,DG,DG
68290,11173,277,3352,83,8months-disease-replicate_2,Oligo,Oligo1
68291,1287,269,387,80,8months-disease-replicate_2,Oligo,Oligo1
68292,9214,276,2765,82,8months-disease-replicate_2,Astro,Astro1
68293,4892,265,1468,79,8months-disease-replicate_2,DG,DG
68294,8141,231,2443,69,8months-disease-replicate_2,DG,DG
68295,4791,276,1438,82,8months-disease-replicate_2,DG,DG
