NAME,X,Y,X-scaled,Y-scaled,label,top_level_cell_type,sub_level_cell_type
19042,672,31,201,9,13months-disease-replicate_2,Astro,Astro1
19043,411,34,123,10,13months-disease-replicate_2,LHb,LHb
19045,3243,31,972,9,13months-disease-replicate_2,Astro,Astro1
19046,7599,34,2279,10,13months-disease-replicate_2,CTX-Ex,CTX-Ex2
19047,1588,30,476,9,13months-disease-replicate_2,LHb,LHb
19048,7310,37,2193,11,13months-disease-replicate_2,CTX-Ex,CTX-Ex2
19049,8251,42,2475,12,13months-disease-replicate_2,Oligo,Oligo1
19050,3791,44,1137,13,13months-disease-replicate_2,Micro,Micro1
19051,514,37,154,11,13months-disease-replicate_2,LHb,LHb
19052,222,43,66,12,13months-disease-replicate_2,LHb,LHb
19053,11300,46,3390,13,13months-disease-replicate_2,Micro,Micro2
19054,9719,51,2915,15,13months-disease-replicate_2,Astro,Astro1
19055,1772,46,531,13,13months-disease-replicate_2,LHb,LHb
19056,2402,53,720,15,13months-disease-replicate_2,LHb,LHb
19057,1509,48,452,14,13months-disease-replicate_2,LHb,LHb
19058,2133,57,639,17,13months-disease-replicate_2,LHb,LHb
19059,19049,63,5714,18,13months-disease-replicate_2,OPC,OPC
19060,8020,58,2406,17,13months-disease-replicate_2,Oligo,Oligo1
19061,8684,64,2605,19,13months-disease-replicate_2,Inh,Pvalb_Nog
19062,5781,65,1734,19,13months-disease-replicate_2,Astro,Astro3
19063,18960,63,5688,18,13months-disease-replicate_2,Micro,Micro1
19064,18502,62,5550,18,13months-disease-replicate_2,Oligo,Oligo1
19066,18716,75,5614,22,13months-disease-replicate_2,Oligo,Oligo1
19069,9304,75,2791,22,13months-disease-replicate_2,Oligo,Oligo1
19070,15964,80,4789,24,13months-disease-replicate_2,Astro,Astro1
19071,322,75,96,22,13months-disease-replicate_2,CTX-Ex,CTX-Ex3
19072,13431,87,4029,26,13months-disease-replicate_2,Oligo,Oligo1
19073,9446,84,2833,25,13months-disease-replicate_2,CTX-Ex,CTX-Ex3
19074,2034,85,610,25,13months-disease-replicate_2,Astro,Astro1
19075,15228,89,4568,26,13months-disease-replicate_2,CTX-Ex,CTX-Ex3
19076,1597,86,479,25,13months-disease-replicate_2,LHb,LHb
19078,6920,98,2076,29,13months-disease-replicate_2,SMC,S5
19079,14398,99,4319,29,13months-disease-replicate_2,Oligo,Oligo2
19080,1879,74,563,22,13months-disease-replicate_2,LHb,LHb
19081,815,95,244,28,13months-disease-replicate_2,Inh,Vip
19082,11921,104,3576,31,13months-disease-replicate_2,Inh,Lamp5
19083,12405,102,3721,30,13months-disease-replicate_2,CTX-Ex,CTX-Ex3
19084,12322,101,3696,30,13months-disease-replicate_2,CTX-Ex,CTX-Ex2
19085,5527,109,1658,32,13months-disease-replicate_2,Micro,Micro3
19086,17907,114,5372,34,13months-disease-replicate_2,OPC,OPC
19087,13348,111,4004,33,13months-disease-replicate_2,CTX-Ex,CTX-Ex2
19088,6847,109,2054,32,13months-disease-replicate_2,Astro,Astro3
19089,4644,115,1393,34,13months-disease-replicate_2,Endo,Endo1
19090,476,115,142,34,13months-disease-replicate_2,LHb,LHb
19091,11672,120,3501,36,13months-disease-replicate_2,Inh,Pvalb
19092,1464,120,439,36,13months-disease-replicate_2,LHb,LHb
19093,17259,123,5177,36,13months-disease-replicate_2,SMC,S3
19094,7567,127,2270,38,13months-disease-replicate_2,Oligo,Oligo2
19095,205,129,61,38,13months-disease-replicate_2,LHb,LHb
19096,15512,130,4653,39,13months-disease-replicate_2,CTX-Ex,CTX-Ex3
19097,13064,135,3919,40,13months-disease-replicate_2,Inh,Vip
19098,657,119,197,35,13months-disease-replicate_2,LHb,LHb
19099,7009,138,2102,41,13months-disease-replicate_2,SMC,S4
19101,18968,131,5690,39,13months-disease-replicate_2,Oligo,Oligo1
19102,8760,133,2628,39,13months-disease-replicate_2,Astro,Astro1
19103,12748,135,3824,40,13months-disease-replicate_2,Astro,Astro1
19104,1627,146,488,43,13months-disease-replicate_2,LHb,LHb
19105,3782,139,1134,41,13months-disease-replicate_2,Micro,Micro2
19106,9864,141,2959,42,13months-disease-replicate_2,Endo,Endo1
19107,1534,151,460,45,13months-disease-replicate_2,LHb,LHb
19110,792,149,237,44,13months-disease-replicate_2,LHb,LHb
19111,13149,150,3944,45,13months-disease-replicate_2,Inh,Pvalb
19112,6515,155,1954,46,13months-disease-replicate_2,Micro,Micro3
19113,4350,156,1305,46,13months-disease-replicate_2,Astro,Astro3
19115,8620,163,2586,48,13months-disease-replicate_2,Astro,Astro1
19116,1762,169,528,50,13months-disease-replicate_2,LHb,LHb
19117,600,142,180,42,13months-disease-replicate_2,LHb,LHb
19118,6351,170,1905,51,13months-disease-replicate_2,Micro,Micro3
19119,523,176,156,52,13months-disease-replicate_2,LHb,LHb
19120,16021,178,4806,53,13months-disease-replicate_2,CTX-Ex,CTX-Ex3
19121,6445,179,1933,53,13months-disease-replicate_2,Micro,Micro3
19122,340,173,102,51,13months-disease-replicate_2,LHb,LHb
19123,1401,181,420,54,13months-disease-replicate_2,SMC,S2
19124,8549,185,2564,55,13months-disease-replicate_2,Oligo,Oligo3
19125,10144,184,3043,55,13months-disease-replicate_2,Astro,Astro1
19127,7156,188,2146,56,13months-disease-replicate_2,Endo,Endo2
19128,161,190,48,57,13months-disease-replicate_2,LHb,LHb
19129,71,170,21,51,13months-disease-replicate_2,LHb,LHb
19130,706,194,211,58,13months-disease-replicate_2,LHb,LHb
19131,2287,195,686,58,13months-disease-replicate_2,Astro,Astro3
19132,818,204,245,61,13months-disease-replicate_2,LHb,LHb
19133,1687,197,506,59,13months-disease-replicate_2,LHb,LHb
19134,11776,201,3532,60,13months-disease-replicate_2,CTX-Ex,CTX-Ex3
19135,5950,198,1785,59,13months-disease-replicate_2,Astro,Astro3
19136,8378,200,2513,60,13months-disease-replicate_2,Endo,Endo2
19137,2185,194,655,58,13months-disease-replicate_2,LHb,LHb
19138,18833,206,5649,61,13months-disease-replicate_2,Oligo,Oligo1
19139,2391,208,717,62,13months-disease-replicate_2,SMC,S3
19140,15358,211,4607,63,13months-disease-replicate_2,Astro,Astro1
19141,603,225,180,67,13months-disease-replicate_2,Astro,Astro1
19142,4340,223,1302,66,13months-disease-replicate_2,Astro,Astro3
