NAME,X,Y,X-scaled,Y-scaled,label,top_level_cell_type,sub_level_cell_type
29261,3018,19,905,5,13months-disease-replicate_1,DG,DG
29263,9698,13,2909,3,13months-disease-replicate_1,Oligo,Oligo1
29264,12907,21,3872,6,13months-disease-replicate_1,Oligo,Oligo1
29265,14161,21,4248,6,13months-disease-replicate_1,Oligo,Oligo1
29267,7888,24,2366,7,13months-disease-replicate_1,Astro,Astro3
29268,3277,31,983,9,13months-disease-replicate_1,DG,DG
29269,1767,25,530,7,13months-disease-replicate_1,Endo,Endo1
29270,13525,32,4057,9,13months-disease-replicate_1,SMC,S4
29271,9210,26,2763,7,13months-disease-replicate_1,OPC,OPC
29272,12756,29,3826,8,13months-disease-replicate_1,Micro,Micro1
29273,18754,32,5626,9,13months-disease-replicate_1,Astro,Astro2
29274,11672,33,3501,9,13months-disease-replicate_1,Endo,Endo1
29275,3888,44,1166,13,13months-disease-replicate_1,DG,DG
29276,8002,38,2400,11,13months-disease-replicate_1,SMC,S3
29277,3115,42,934,12,13months-disease-replicate_1,DG,DG
29278,13605,41,4081,12,13months-disease-replicate_1,SMC,S5
29279,12055,74,3616,22,13months-disease-replicate_1,CTX-Ex,CTX-Ex2
29280,8086,75,2425,22,13months-disease-replicate_1,SMC,S3
29281,9277,50,2783,15,13months-disease-replicate_1,CTX-Ex,CTX-Ex2
29282,15752,52,4725,15,13months-disease-replicate_1,Oligo,Oligo1
29283,3440,45,1032,13,13months-disease-replicate_1,DG,DG
29284,13006,57,3901,17,13months-disease-replicate_1,Oligo,Oligo1
29285,10036,52,3010,15,13months-disease-replicate_1,CTX-Ex,CTX-Ex3
29286,9349,56,2804,16,13months-disease-replicate_1,Oligo,Oligo1
29287,17551,59,5265,17,13months-disease-replicate_1,Astro,Astro2
29288,10800,57,3240,17,13months-disease-replicate_1,Oligo,Oligo3
29289,2498,47,749,14,13months-disease-replicate_1,DG,DG
29290,3529,53,1058,15,13months-disease-replicate_1,DG,DG
29291,10213,56,3063,16,13months-disease-replicate_1,Oligo,Oligo3
29292,2871,52,861,15,13months-disease-replicate_1,DG,DG
29293,2752,61,825,18,13months-disease-replicate_1,DG,DG
29294,2378,55,713,16,13months-disease-replicate_1,DG,DG
29295,3180,69,954,20,13months-disease-replicate_1,DG,DG
29296,3019,78,905,23,13months-disease-replicate_1,DG,DG
29297,13924,101,4177,30,13months-disease-replicate_1,Oligo,Oligo1
29298,14871,92,4461,27,13months-disease-replicate_1,Oligo,Oligo1
29299,3378,88,1013,26,13months-disease-replicate_1,DG,DG
29300,3250,109,975,32,13months-disease-replicate_1,DG,DG
29301,7725,105,2317,31,13months-disease-replicate_1,Micro,Micro2
29302,12687,106,3806,31,13months-disease-replicate_1,Astro,Astro1
29303,14640,108,4392,32,13months-disease-replicate_1,Oligo,Oligo1
29304,4309,116,1292,34,13months-disease-replicate_1,Micro,Micro3
29305,6993,113,2097,33,13months-disease-replicate_1,Endo,Endo1
29306,3599,110,1079,33,13months-disease-replicate_1,DG,DG
29307,2587,84,776,25,13months-disease-replicate_1,DG,DG
29308,2413,122,723,36,13months-disease-replicate_1,DG,DG
29309,12982,123,3894,36,13months-disease-replicate_1,Oligo,Oligo1
29310,7263,124,2178,37,13months-disease-replicate_1,Micro,Micro3
29311,10353,133,3105,39,13months-disease-replicate_1,Endo,Endo2
29312,2952,118,885,35,13months-disease-replicate_1,Micro,Micro2
29313,10839,133,3251,39,13months-disease-replicate_1,Inh,Lamp5
29314,3725,136,1117,40,13months-disease-replicate_1,DG,DG
29315,9739,143,2921,42,13months-disease-replicate_1,CTX-Ex,CTX-Ex3
29316,11757,135,3527,40,13months-disease-replicate_1,CTX-Ex,CTX-Ex3
29317,2658,111,797,33,13months-disease-replicate_1,DG,DG
29318,3129,145,938,43,13months-disease-replicate_1,DG,DG
29319,3470,165,1041,49,13months-disease-replicate_1,DG,DG
29320,12238,157,3671,47,13months-disease-replicate_1,CTX-Ex,CTX-Ex3
29321,904,162,271,48,13months-disease-replicate_1,Endo,Endo2
29322,12503,158,3750,47,13months-disease-replicate_1,CTX-Ex,CTX-Ex3
29323,2503,158,750,47,13months-disease-replicate_1,DG,DG
29324,2857,155,857,46,13months-disease-replicate_1,DG,DG
29325,3337,173,1001,51,13months-disease-replicate_1,DG,DG
29326,4242,171,1272,51,13months-disease-replicate_1,Astro,Astro3
29327,12730,164,3819,49,13months-disease-replicate_1,OPC,OPC
29328,6769,169,2030,50,13months-disease-replicate_1,Astro,Astro3
29329,13919,175,4175,52,13months-disease-replicate_1,Oligo,Oligo1
29330,3048,170,914,51,13months-disease-replicate_1,DG,DG
29331,20761,174,6228,52,13months-disease-replicate_1,Endo,Endo1
29332,14311,176,4293,52,13months-disease-replicate_1,Oligo,Oligo1
29333,2732,181,819,54,13months-disease-replicate_1,DG,DG
29334,3630,186,1089,55,13months-disease-replicate_1,DG,DG
29335,2309,164,692,49,13months-disease-replicate_1,DG,DG
29336,6094,193,1828,57,13months-disease-replicate_1,Endo,Endo3
29337,2412,199,723,59,13months-disease-replicate_1,DG,DG
29338,3542,207,1062,62,13months-disease-replicate_1,DG,DG
29339,8234,197,2470,59,13months-disease-replicate_1,SMC,S3
29340,2209,215,662,64,13months-disease-replicate_1,DG,DG
29341,2571,212,771,63,13months-disease-replicate_1,DG,DG
29342,5641,209,1692,62,13months-disease-replicate_1,Micro,Micro3
29343,12149,213,3644,63,13months-disease-replicate_1,CTX-Ex,CTX-Ex1
29344,3227,215,968,64,13months-disease-replicate_1,DG,DG
29345,5918,217,1775,65,13months-disease-replicate_1,Micro,Micro2
29346,2933,218,879,65,13months-disease-replicate_1,DG,DG
29347,2808,221,842,66,13months-disease-replicate_1,DG,DG
29348,12946,230,3883,69,13months-disease-replicate_1,Micro,Micro3
29349,1745,238,523,71,13months-disease-replicate_1,Micro,Micro1
29350,3152,249,945,74,13months-disease-replicate_1,DG,DG
29351,10666,236,3199,70,13months-disease-replicate_1,Inh,Pvalb
29352,10755,249,3226,74,13months-disease-replicate_1,CTX-Ex,CTX-Ex3
29353,6142,247,1842,74,13months-disease-replicate_1,OPC,OPC
29354,14056,242,4216,72,13months-disease-replicate_1,Oligo,Oligo2
29355,323,239,96,71,13months-disease-replicate_1,SMC,S3
29356,10468,247,3140,74,13months-disease-replicate_1,Endo,Endo2
29357,896,251,268,75,13months-disease-replicate_1,Astro,Astro2
29358,3006,248,901,74,13months-disease-replicate_1,DG,DG
29359,20822,240,6246,72,13months-disease-replicate_1,Micro,Micro1
29360,3687,245,1106,73,13months-disease-replicate_1,DG,DG
29361,2459,259,737,77,13months-disease-replicate_1,DG,DG
29362,2292,268,687,80,13months-disease-replicate_1,DG,DG
29363,71,263,21,78,13months-disease-replicate_1,Micro,Micro3
29364,5763,259,1728,77,13months-disease-replicate_1,Astro,Astro1
29365,8408,267,2522,80,13months-disease-replicate_1,Micro,Micro1
29366,8298,259,2489,77,13months-disease-replicate_1,SMC,S3
29367,12888,265,3866,79,13months-disease-replicate_1,SMC,S3
29368,3084,276,925,82,13months-disease-replicate_1,DG,DG
29369,11012,267,3303,80,13months-disease-replicate_1,Micro,Micro1
29370,15853,271,4755,81,13months-disease-replicate_1,Micro,Micro1
29371,2872,277,861,83,13months-disease-replicate_1,DG,DG
29372,3344,271,1003,81,13months-disease-replicate_1,DG,DG
29373,20895,288,6268,86,13months-disease-replicate_1,Astro,Astro3
29374,376,293,112,87,13months-disease-replicate_1,Endo,Endo2
29375,2674,273,802,81,13months-disease-replicate_1,DG,DG
29376,15277,285,4583,85,13months-disease-replicate_1,Oligo,Oligo1
29377,20802,295,6240,88,13months-disease-replicate_1,SMC,S1
29378,2596,300,778,90,13months-disease-replicate_1,DG,DG
29379,3787,283,1136,84,13months-disease-replicate_1,DG,DG
29380,15097,304,4529,91,13months-disease-replicate_1,Micro,Micro1
29381,2762,302,828,90,13months-disease-replicate_1,DG,DG
29382,8526,304,2557,91,13months-disease-replicate_1,CTX-Ex,CTX-Ex3
29383,3576,297,1072,89,13months-disease-replicate_1,DG,DG
29384,17253,288,5175,86,13months-disease-replicate_1,Inh,Lamp5
29385,19674,308,5902,92,13months-disease-replicate_1,Astro,Astro1
29386,14792,316,4437,94,13months-disease-replicate_1,Oligo,Oligo1
29387,243,319,72,95,13months-disease-replicate_1,Astro,Astro1
29388,5228,320,1568,96,13months-disease-replicate_1,Micro,Micro3
29389,2098,320,629,96,13months-disease-replicate_1,DG,DG
29390,8286,323,2485,96,13months-disease-replicate_1,Micro,Micro3
29391,4052,331,1215,99,13months-disease-replicate_1,DG,DG
29392,2500,324,750,97,13months-disease-replicate_1,DG,DG
29393,2970,326,891,97,13months-disease-replicate_1,DG,DG
29394,3242,323,972,96,13months-disease-replicate_1,DG,DG
29395,2341,334,702,100,13months-disease-replicate_1,DG,DG
29396,3439,309,1031,92,13months-disease-replicate_1,DG,DG
29397,12818,344,3845,103,13months-disease-replicate_1,Astro,Astro3
29398,3689,339,1106,101,13months-disease-replicate_1,DG,DG
29399,13434,340,4030,102,13months-disease-replicate_1,Oligo,Oligo1
29400,3904,344,1171,103,13months-disease-replicate_1,DG,DG
29401,11821,349,3546,104,13months-disease-replicate_1,Astro,Astro1
29402,21704,370,6511,111,13months-disease-replicate_1,Astro,Astro2
29403,3505,356,1051,106,13months-disease-replicate_1,DG,DG
29404,8489,366,2546,109,13months-disease-replicate_1,SMC,S3
29405,2909,369,872,110,13months-disease-replicate_1,DG,DG
29406,8875,349,2662,104,13months-disease-replicate_1,Oligo,Oligo1
29407,21412,370,6423,111,13months-disease-replicate_1,Oligo,Oligo1
29408,11323,373,3396,111,13months-disease-replicate_1,CTX-Ex,CTX-Ex3
29409,2838,375,851,112,13months-disease-replicate_1,DG,DG
29410,3045,368,913,110,13months-disease-replicate_1,DG,DG
29411,10657,380,3197,114,13months-disease-replicate_1,CTX-Ex,CTX-Ex3
29412,7620,384,2286,115,13months-disease-replicate_1,SMC,S1
29413,2683,374,804,112,13months-disease-replicate_1,DG,DG
29414,14759,389,4427,116,13months-disease-replicate_1,Oligo,Oligo1
29415,13508,388,4052,116,13months-disease-replicate_1,Oligo,Oligo1
29416,3127,387,938,116,13months-disease-replicate_1,DG,DG
29417,10882,392,3264,117,13months-disease-replicate_1,Endo,Endo1
29418,2541,400,762,120,13months-disease-replicate_1,DG,DG
